Collection_Year,Serotype,Number_of_Serotypes,Age_Years
2011,7C,2,7. 6> - <=7 years
2011,7F,1,1. <=1 year
2011,7F,1,2. 1> - <=2 years
2011,7F,1,4. 3> - <=4 years
2011,7F,1,5. 4> - <=5 years
2011,9N,2,1. <=1 year
2011,9N,2,3. 2> - <=3 years
2011,9N,2,4. 3> - <=4 years
2011,9N,1,6. 5> - <=6 years
2011,9N,1,7. 6> - <=7 years
2011,NT,1,4. 3> - <=4 years
2014,10A,3,1. <=1 year
2014,10A,1,2. 1> - <=2 years
2014,10A,1,3. 2> - <=3 years
2014,10A,3,4. 3> - <=4 years
2014,10A,1,5. 4> - <=5 years
2014,10B,1,5. 4> - <=5 years
2014,11A,5,1. <=1 year
2014,11A,7,2. 1> - <=2 years
2014,11A,7,3. 2> - <=3 years
2014,11A,6,4. 3> - <=4 years
2014,11A,3,5. 4> - <=5 years
2014,15A,5,2. 1> - <=2 years
2014,15A,3,3. 2> - <=3 years
2014,15A,3,4. 3> - <=4 years
2014,15A,2,5. 4> - <=5 years
2014,15A,1,6. 5> - <=6 years
2014,15A,2,7. 6> - <=7 years
2014,15B/C,10,1. <=1 year
2014,15B/C,22,2. 1> - <=2 years
2014,15B/C,8,3. 2> - <=3 years
2014,15B/C,5,4. 3> - <=4 years
2014,15B/C,5,5. 4> - <=5 years
2014,15B/C,2,6. 5> - <=6 years
2014,15B/C,2,7. 6> - <=7 years
2014,16F,1,2. 1> - <=2 years
2014,16F,2,3. 2> - <=3 years
2014,16F,4,4. 3> - <=4 years
2014,17F,2,1. <=1 year
2014,17F,1,2. 1> - <=2 years
2014,19A,4,1. <=1 year
2014,19A,4,2. 1> - <=2 years
2014,19A,1,3. 2> - <=3 years
2014,19A,1,6. 5> - <=6 years
2014,19F,1,2. 1> - <=2 years
2014,19F,1,5. 4> - <=5 years
2014,19F,2,6. 5> - <=6 years
2014,21,3,1. <=1 year
2014,21,2,2. 1> - <=2 years
2014,21,5,3. 2> - <=3 years
2014,21,1,4. 3> - <=4 years
2014,21,1,5. 4> - <=5 years
2014,22F,1,1. <=1 year
2014,22F,4,2. 1> - <=2 years
2014,22F,2,5. 4> - <=5 years
2014,22F,1,6. 5> - <=6 years
2014,23A,5,1. <=1 year
2014,23A,6,2. 1> - <=2 years
2014,23A,4,3. 2> - <=3 years
2014,23A,1,4. 3> - <=4 years
2014,23A,4,5. 4> - <=5 years
2014,23A,1,6. 5> - <=6 years
2014,23A,3,7. 6> - <=7 years
2014,23B,8,1. <=1 year
2014,23B,12,2. 1> - <=2 years
2014,23B,1,3. 2> - <=3 years
2014,23B,8,4. 3> - <=4 years
2014,23B,7,5. 4> - <=5 years
2014,23B,1,6. 5> - <=6 years
2014,23B,2,7. 6> - <=7 years
2014,24F,2,3. 2> - <=3 years
2014,3,1,2. 1> - <=2 years
2014,3,1,4. 3> - <=4 years
2014,3,1,5. 4> - <=5 years
2014,3,2,6. 5> - <=6 years
2014,3,1,7. 6> - <=7 years
2014,31,1,1. <=1 year
2014,31,1,2. 1> - <=2 years
2014,33F,5,1. <=1 year
2014,33F,6,2. 1> - <=2 years
2014,33F,1,5. 4> - <=5 years
2014,33F,2,6. 5> - <=6 years
2014,33F,1,7. 6> - <=7 years
2014,34,3,2. 1> - <=2 years
2014,34,1,4. 3> - <=4 years
2014,34,1,7. 6> - <=7 years
2014,35B,16,1. <=1 year
2014,35B,11,2. 1> - <=2 years
2014,35B,9,3. 2> - <=3 years
2014,35B,1,4. 3> - <=4 years
2014,35B,1,5. 4> - <=5 years
2014,35B,4,6. 5> - <=6 years
2014,35F,3,1. <=1 year
2014,35F,2,2. 1> - <=2 years
2014,35F,5,3. 2> - <=3 years
2014,35F,2,4. 3> - <=4 years
2014,35F,2,5. 4> - <=5 years
2014,35F,2,6. 5> - <=6 years
2014,37,1,7. 6> - <=7 years
2014,6C,1,1. <=1 year
2014,6C,2,2. 1> - <=2 years
2014,6C,1,3. 2> - <=3 years
2014,6C,1,4. 3> - <=4 years
2014,7C,3,1. <=1 year
2014,7C,1,2. 1> - <=2 years
2014,7C,1,5. 4> - <=5 years
2014,7C,1,6. 5> - <=6 years
2014,9N,2,1. <=1 year
2014,9N,1,3. 2> - <=3 years
2014,9N,1,4. 3> - <=4 years
2014,9N,1,7. 6> - <=7 years
2014,NT,2,4. 3> - <=4 years
2014,NT,2,5. 4> - <=5 years
2014,NT,2,7. 6> - <=7 years
